"","id","loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","loan_status","purpose","addr_state","dti","delinq_2yrs","earliest_cr_line","mths_since_last_delinq","open_acc","revol_bal","total_acc","out_prncp","total_pymnt","total_rec_prncp","total_rec_int"
"20",571203,18000,18000," 60 months"," 10.16%",383.87,"10+ years","MORTGAGE",72804,"Current","credit_card","MA",16.73,0,"1995-12-27 02:06",NA,21,8751,49,13263.18,7273.77,4736.82,2536.95
"40",641849,13200,13200," 36 months"," 18.49%",480.47,"2 years","RENT",110000,"Current","debt_consolidation","IL",17.02,0,"2000-12-11 11:15",29,16,16062,36,10546.93,4324.23,2653.07,1671.16
"60",694891,15675,15675," 36 months","  8.90%",497.74,"10+ years","MORTGAGE",1e+05,"Current","small_business","WA",9.1,0,"1994-04-07 12:00",NA,16,20650,45,15294.25,496.78,380.75,116.03
"80",734736,21600,21600," 36 months","  7.90%",675.87,"10+ years","MORTGAGE",95000,"Fully Paid","house","WI",3.42,0,"1999-05-05 10:59",NA,9,416,24,0,23521.69,21600,1921.69
"100",784712,16500,16500," 60 months","  7.90%",333.78,"2 years","MORTGAGE",42000,"Late (31-120 days)","small_business","NY",10.43,0,"1993-07-16 08:41",NA,9,2229,17,12966.64,5000.85,3533.36,1467.49
"120",807342,21000,21000," 36 months","  6.62%",644.78,"10+ years","MORTGAGE",121392,"Current","major_purchase","PA",19.53,0,"1995-12-17 07:16",NA,18,40721,37,15018.6,7092.58,5981.4,1111.18
"140",843448,5500,5500," 36 months"," 13.67%",187.1,"3 years","RENT",55000,"Fully Paid","debt_consolidation","NJ",20.71,0,"1987-07-24 12:40",NA,17,9486,25,0,5792.14,5500,292.14
"160",880114,5600,5600," 36 months","  9.99%",180.67,"1 year","RENT",75000,"Current","debt_consolidation","NY",8.24,0,"2004-12-28 12:27",24,17,12188,33,4918.5,903.35,681.5,221.85
"180",974654,6400,6400," 36 months"," 15.80%",224.38,"2 years","RENT",34000,"Current","debt_consolidation","VA",32.4,0,"1998-03-15 06:57",47,6,4915,15,4430.59,2912.26,1969.41,942.85
"200",999547,16000,16000," 36 months"," 10.16%",517.48,"n/a","RENT",155000,"Late (31-120 days)","debt_consolidation","CA",26.49,0,"1982-11-25 12:58",NA,18,58888,35,11999.79,5391.45000000002,4000.21,1365.39
"220",1023119,1400,1400," 36 months"," 15.96%",49.2,"3 years","MORTGAGE",67000,"Fully Paid","home_improvement","NV",19.57,0,"2004-01-01 12:16",61,8,13806,14,0,1687.48,1400,287.48
"240",1034319,10800,10800," 36 months"," 11.14%",354.3,"5 years","RENT",57000,"Current","debt_consolidation","CA",18.32,0,"1997-05-13 10:54",30,9,21924,18,7307.12,4605.9,3492.88,1113.02
"260",1042871,6250,6250," 36 months","  7.51%",194.45,"7 years","MORTGAGE",33600,"Current","debt_consolidation","CA",18.05,0,"2005-08-13 06:31",NA,7,5174,10,2072.55,4847.25,4177.45,669.8
"280",1050240,5000,5000," 36 months","  6.62%",153.52,"2 years","MORTGAGE",33280,"Current","credit_card","NV",15.79,0,"2002-07-21 06:30",NA,12,3188,21,1503.38,3975.77,3496.62,479.15
"300",1055193,7300,7300," 36 months"," 13.49%",247.7,"3 years","RENT",50000,"Current","small_business","FL",19.06,0,"2006-01-03 09:58",NA,8,12026,13,2554.6,6185.5,4745.4,1440.1
"320",1058291,12000,7775," 60 months"," 15.27%",186.08,"7 years","RENT",50000,"Current","credit_card","VA",5.5,0,"2003-02-21 07:40",NA,13,7008,25,5125.4,4808.96,2649.6,2159.36
"340",1059509,20000,20000," 60 months"," 17.27%",499.96,"10+ years","MORTGAGE",80000,"Current","debt_consolidation","VA",15.06,0,"2001-03-04 05:02",NA,11,21592,30,13404.04,12928.21,6595.96,6332.25
"360",1061580,27575,27575," 60 months"," 12.69%",623.05,"1 year","RENT",91200,"Charged Off","credit_card","CA",27.69,0,"1995-08-04 04:07",NA,13,45053,29,0,1866.87,1003.66,863.21
"380",1063649,17500,16800," 60 months"," 22.74%",471.1,"6 years","MORTGAGE",95000,"Charged Off","debt_consolidation","WA",24.78,0,"2002-01-30 07:50",NA,12,23722,23,0,4704.9,1662.3,3042.6
"400",1064860,4000,4000," 36 months"," 14.65%",137.98,"n/a","MORTGAGE",24878.76,"Current","credit_card","NV",8.2,0,"1988-07-13 03:08",NA,6,5741,11,1294.91,3582.8,2705.09,877.71
"420",1065549,11200,11200," 36 months"," 11.71%",370.46,"4 years","RENT",82000,"Current","credit_card","TX",19.08,0,"1999-12-17 02:54",NA,9,24886,35,3529.42,9611.21,7670.59,1940.62
"440",1066792,35000,35000," 36 months","  9.91%",1127.88,"2 years","OWN",6e+05,"Fully Paid","home_improvement","FL",1.97,0,"1975-05-29 08:34",NA,7,0,11,0,36628.86,35000,1628.86
"460",1068335,15000,15000," 36 months"," 12.42%",501.23,"2 years","MORTGAGE",150000,"Current","other","NJ",19.46,0,"1996-09-06 10:01",NA,12,53514,27,4750.5,13016.48,10249.5,2766.98
"480",1069148,11000,11000," 36 months"," 12.42%",367.57,"1 year","RENT",22000,"Current","small_business","CA",9.11,1,"2004-11-21 05:36",22,7,5219,13,2275.27,10631.67,8724.73,1906.94
"500",1070084,24000,24000," 36 months","  8.90%",762.08,"7 years","RENT",70000,"Current","debt_consolidation","NY",9.87,0,"2000-01-17 05:54",NA,11,15386,26,7325.96,19805.58,16674.04,3131.54
"520",1071186,7200,7200," 36 months"," 16.29%",254.17,"2 years","RENT",88800,"Current","debt_consolidation","MD",18.14,0,"2002-09-07 09:02",66,8,3246,16,2366.59,6601.42,4833.41,1768.01
"540",1071862,8000,8000," 36 months","  6.03%",243.49,"7 years","MORTGAGE",60000,"Fully Paid","credit_card","FL",17.13,0,"1997-05-03 06:28",NA,18,20097,28,0,8293.2,8000,293.2
"560",1072789,10400,10400," 36 months"," 13.49%",352.88,"< 1 year","RENT",50000,"Current","credit_card","NY",14.47,0,"2004-08-29 04:41",NA,11,15884,13,3343.73,9143.88,7056.27,2087.61
"580",1073096,8500,8500," 36 months"," 11.71%",281.15,"4 years","OWN",130500,"Fully Paid","debt_consolidation","NM",13.36,0,"1999-02-26 12:38",69,10,8356,18,0,9880.55,8500,1380.55
"600",1073395,21000,21000," 60 months"," 19.91%",555.33,"6 years","RENT",42000,"Current","debt_consolidation","CA",14.97,0,"2001-04-14 02:42",NA,5,28632,12,14663.03,13862.75,6336.96,7525.79
"620",1073807,21000,21000," 36 months","  8.90%",666.82,"5 years","MORTGAGE",98000,"Current","debt_consolidation","FL",10.47,0,"1999-05-04 07:59",NA,6,12954,23,15165.04,7335.02,5834.95,1500.07
"640",1074076,4000,4000," 36 months"," 14.27%",137.24,"4 years","RENT",20500,"Current","debt_consolidation","AZ",19.26,0,"1988-10-20 12:18",NA,6,10566,16,1299.05,3551.74,2700.95,850.79
"660",1074374,15000,15000," 36 months"," 14.27%",514.64,"10+ years","RENT",75000,"Current","debt_consolidation","NY",6.53,0,"2003-08-03 02:45",NA,6,15605,9,4852.17,13344.64,10147.83,3196.81
"680",1074785,4800,4800," 36 months"," 12.69%",161.02,"6 years","MORTGAGE",48000,"Charged Off","home_improvement","NM",4,0,"1999-06-25 08:34",NA,4,1361,7,0,1925.64,1398.06,527.58
"700",1075164,25000,25000," 36 months"," 11.71%",826.9,"2 years","RENT",120000,"Current","small_business","CA",13.06,0,"2002-05-11 01:50",NA,8,21412,25,7850.49,21488.65,17149.51,4339.14
"720",1075789,9600,9600," 36 months"," 14.65%",331.15,"4 years","RENT",52000,"Fully Paid","other","PA",24.48,0,"1996-09-09 03:04",NA,19,11930,43,0,11407.13,9600,1807.13
"740",1076079,7000,7000," 36 months"," 16.29%",247.11,"10+ years","RENT",50000,"Current","wedding","NY",11.57,0,"2006-03-21 03:33",NA,8,17075,9,2301.16,6417.61,4698.83,1718.78
"760",1076316,19200,19200," 60 months"," 20.30%",511.9,"10+ years","MORTGAGE",150000,"Charged Off","debt_consolidation","GA",6.18,0,"2000-04-22 09:29",40,10,17541,19,0,5118.17,2013.42,3088.78
"780",1076701,25500,25500," 60 months"," 13.49%",586.62,"10+ years","MORTGAGE",51000,"Late (16-30 days)","small_business","FL",8.92,0,"2001-02-18 07:06",NA,18,6295,31,17391.62,14076.23,8108.38,5967.85
"800",1077012,3000,3000," 36 months","  6.62%",92.12,"6 years","MORTGAGE",40000,"Fully Paid","major_purchase","NY",25.68,0,"1996-06-12 04:35",29,8,16727,26,0,3106.91,3000,106.91
"820",1077307,12000,12000," 36 months","  7.90%",375.49,"8 years","MORTGAGE",87060,"Fully Paid","credit_card","TX",7.57,0,"2002-09-09 08:38",NA,6,11062,13,0,12973.87,12000,973.87
"840",1077681,4950,4950," 36 months"," 11.71%",163.73,"3 years","RENT",28800,"Fully Paid","debt_consolidation","MN",16.21,0,"2006-03-23 11:06",NA,9,5828,10,0,5303.65,4950,353.65
